research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction,feature
VALIDATION,FLAT,31,25,13,12,0,6,52.0,51.61290322580645,0.571173786127834,0.4916066178296732,0.49518550569360564,0.33483631706731287,1,31,BEAR,directional_stock_vs_spy_5d_pct
VALIDATION,RELATIVE_ALIGNED,986,971,496,475,10,5,51.081359423274975,48.073022312373226,1.6743338067228706,1.5674104766651957,1.1728909664472265,1.1592584050546888,111,156,BEAR,directional_stock_vs_spy_5d_pct
VALIDATION,RELATIVE_OPPOSING,999,981,485,496,14,4,49.43934760448522,47.647647647647645,1.629284218003735,1.5731851387789693,1.1963737243634303,1.1215519854501503,111,156,BEAR,directional_stock_vs_spy_5d_pct
VALIDATION,FLAT,34,27,9,18,0,7,33.333333333333336,52.94117647058823,0.4562359909733701,0.5573502901216839,0.39659723778488426,0.5400766164783086,1,34,BULL,directional_stock_vs_spy_5d_pct
VALIDATION,RELATIVE_ALIGNED,1022,994,487,507,25,3,48.99396378269618,47.35812133072407,1.7767890942414006,1.5760096089752915,1.2264441895518772,1.118669255605056,111,159,BULL,directional_stock_vs_spy_5d_pct
VALIDATION,RELATIVE_OPPOSING,1062,1042,508,534,18,2,48.75239923224568,46.23352165725047,1.672232926812203,1.5546772282587125,1.1662644303729663,1.1527392632778402,111,158,BULL,directional_stock_vs_spy_5d_pct
DISCOVERY,FLAT,44,37,19,18,0,7,51.351351351351354,52.27272727272727,0.6107650379620587,0.5887581609598884,0.4874304978187999,0.40225044772611696,1,44,ALL,directional_stock_vs_qqq_5d_pct
DISCOVERY,RELATIVE_ALIGNED,2042,2004,988,1016,5,33,49.30139720558882,44.51518119490695,1.2975113089296915,1.2800078595785311,0.886416236139993,0.9285589343330647,111,152,ALL,directional_stock_vs_qqq_5d_pct
DISCOVERY,RELATIVE_OPPOSING,1944,1896,982,914,9,39,51.79324894514768,46.91358024691358,1.3007055355934711,1.2339017123227194,0.9464751452834952,0.8643296845170876,111,152,ALL,directional_stock_vs_qqq_5d_pct
DISCOVERY,UNKNOWN,143,141,91,50,0,2,64.53900709219859,60.83916083916084,1.230568193605538,1.0378230612189279,0.9549312853678329,0.7626422621142857,83,6,ALL,directional_stock_vs_qqq_5d_pct
VALIDATION,FLAT,62,59,28,31,0,3,47.45762711864407,54.83870967741935,0.7305980939424479,0.6813325838680352,0.5702405015991334,0.6514337376045447,1,62,ALL,directional_stock_vs_qqq_5d_pct
VALIDATION,RELATIVE_ALIGNED,1988,1940,964,976,35,13,49.69072164948454,47.53521126760563,1.7449249000227323,1.5790607961315013,1.2149267119584979,1.1313829862667437,111,159,ALL,directional_stock_vs_qqq_5d_pct
VALIDATION,RELATIVE_OPPOSING,2084,2041,1006,1035,32,11,49.28956393924547,47.02495201535508,1.6263668511502816,1.5506727219401097,1.1649385999891853,1.1297830104064024,111,159,ALL,directional_stock_vs_qqq_5d_pct
DISCOVERY,FLAT,26,22,12,10,0,4,54.54545454545455,61.53846153846154,0.6998762934242012,0.5099477372645999,0.5585290394628937,0.2666862696183546,1,26,BEAR,directional_stock_vs_qqq_5d_pct
