symbol,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,feature,state
AVGO,8,7,2,5,1,0,28.571428571428573,12.5,0.9995789650539755,1.4886852879725851,0.9447151010674222,1.3605992380336773,1,8,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
AXON,4,4,2,2,0,0,50.0,50.0,1.7161240760089709,3.120882058100397,1.531123321274754,3.611026369572655,1,4,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
AXP,4,4,1,3,0,0,25.0,50.0,1.362228780257292,0.9573750182909901,0.811069521738052,0.965984619882678,1,4,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
BA,7,7,2,5,0,0,28.571428571428573,42.857142857142854,1.0756422456976131,0.978166531501006,0.8787265366212719,1.0785140473125945,1,7,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
BAC,8,8,4,4,0,0,50.0,37.5,0.7034618467472513,0.9061818536447863,0.6029230164755943,1.0198212816669354,1,8,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
BKNG,5,5,3,2,0,0,60.0,40.0,1.1820281487162008,1.7383663320071403,1.0859869403155942,1.218964933007302,1,5,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
BLK,1,1,0,1,0,0,0.0,0.0,0.0,0.915658215616808,0.0,0.915658215616808,1,1,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
BMY,5,5,3,2,0,0,60.0,80.0,1.192598083421887,0.5830137146364562,0.8644317942230733,0.4457917261055635,1,5,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
C,13,12,8,4,0,1,66.66666666666667,30.76923076923077,1.0691171841118177,1.6797573388014437,0.6376908877328333,1.5672741651389388,1,13,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
CAT,3,3,1,2,0,0,33.333333333333336,66.66666666666667,1.170345567434736,1.6333158151747724,1.5081765903917614,1.4921375224529714,1,3,multiple_c2_break_candidate,MULTIPLE_C2_BREAKS
