name,kind,size_bytes,sha256,project,action,destination,reason,duplicate_of,applied,note
diagnose_9n_3h_vrtx_level_source.py,file,3566,5346ea13353279282278cbd4aa0e8bb769b2b5394f9d2b7d0a0efda2bce2c562,other,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\other\diagnose_9n_3h_vrtx_level_source.py,Source move may break paths/imports; review first,,False,
diagnose_a37_cluster_span_parity_v1.py,file,3142,30ca9f274cc8fa9c1e246007529635ed7b9bb7f8247ff2e9ae286c5590db148d,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\diagnose_a37_cluster_span_parity_v1.py,Source move may break paths/imports; review first,,False,
diagnose_v2_export_schema.py,file,1703,53e92a4aaba16c84d3e82eb27c4bd4cf6ae5759983dd9207c13ebe50930fd81b,other,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\other\diagnose_v2_export_schema.py,Source move may break paths/imports; review first,,False,
diagnose_v2_runtime_vs_artifact.py,file,3077,7669230023b3f97d9d87288145b33afac55246a80fca430f63489f51b9694d80,other,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\other\diagnose_v2_runtime_vs_artifact.py,Source move may break paths/imports; review first,,False,
diagnose_v2_runtime_vs_artifact_v2.py,file,3358,7dc806bbe59e78a81610799165c757545592b8a842e0ff81c8a60061f46a9396,other,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\other\diagnose_v2_runtime_vs_artifact_v2.py,Source move may break paths/imports; review first,,False,
docs,dir,0,,core,KEEP_ROOT,,Core directory,,False,
evaluate_a52_frozen_v2_architecture_outcomes_v1.py,file,2757,cda5330b7e1534997017503579ff51741908a1cd9cb7102a79f8c102d0647bdd,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\evaluate_a52_frozen_v2_architecture_outcomes_v1.py,Source move may break paths/imports; review first,,False,
evaluate_a52_v2_robustness_v1.py,file,2706,72b706bfc3e0fff7bee73501391c78ee43333407ab96e65ad38be33027384c1b,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\evaluate_a52_v2_robustness_v1.py,Source move may break paths/imports; review first,,False,
extract_9n_v4_source_semantics_utf8_v1.py,file,6141,043744687280b29504942054da750b686bae885d46e34881c2de4122774ed393,other,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\other\extract_9n_v4_source_semantics_utf8_v1.py,Source move may break paths/imports; review first,,False,
extract_9n_v4_source_semantics_v1.py,file,4083,77678be135de0a1c71b11d4b8b38e384a5d41db0f135a3d447816f66c656e11f,other,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\other\extract_9n_v4_source_semantics_v1.py,Source move may break paths/imports; review first,,False,
extract_a51_a39_original_predictor_bucketing_scope_v1.py,file,1317,497325b5701410e0c09babbea4433def99f3467f6a79590126793eab1c608572,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\extract_a51_a39_original_predictor_bucketing_scope_v1.py,Source move may break paths/imports; review first,,False,
extract_a51_original_frozen_candidate_definitions_v1.py,file,1533,aa6061873002095d588fcee98789d87a137f9aedbd5d3c87f138886cd26182e0,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\extract_a51_original_frozen_candidate_definitions_v1.py,Source move may break paths/imports; review first,,False,
find_altc2_latest_available_date_v1.py,file,6093,d6f0a1c3ff101cb008d1d2f2af93fbae832445662274e5d71958c934b73dbef6,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\find_altc2_latest_available_date_v1.py,Source move may break paths/imports; review first,,False,
