warning_feature,warning_state,context_feature,context_state,effect_type,validation_subperiod,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
warning_fast_recovery_state,RECOVERED_IN_1_BAR,positive_candidate_state,POSITIVE_CANDIDATE,RESCUE_CONTEXT,VALIDATION_OLDER,74,73,49,24,1,0,67.12328767123287,2.0162858596761306,1.454883913847001,1.3734341542966304,1.0364242121901723,51,44
warning_fast_recovery_state,RECOVERED_IN_1_BAR,positive_candidate_state,POSITIVE_CANDIDATE,RESCUE_CONTEXT,VALIDATION_NEWER,61,59,45,14,2,0,76.27118644067797,2.374029928478455,1.8055958778196946,2.2130211307824057,0.9650938350271002,38,35
warning_fast_recovery_state,RECOVERED_IN_1_BAR,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,VALIDATION_OLDER,94,92,65,27,2,0,70.65217391304348,1.8071529942691817,1.272125977622464,1.3474099103759127,0.9176246768873123,55,48
warning_fast_recovery_state,RECOVERED_IN_1_BAR,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,VALIDATION_NEWER,88,85,51,34,3,0,60.0,1.8852470528213023,1.4242216245290094,1.650993041010908,0.890422425287331,61,57
warning_fast_recovery_state,RECOVERED_IN_1_BAR,session_level_clear_state,NONE_CLEARED,RESCUE_CONTEXT,VALIDATION_OLDER,103,102,72,30,1,0,70.58823529411765,1.718052312604051,1.1465935685605957,1.4844004622085245,0.6419753086419809,62,56
warning_fast_recovery_state,RECOVERED_IN_1_BAR,session_level_clear_state,NONE_CLEARED,RESCUE_CONTEXT,VALIDATION_NEWER,147,142,85,57,1,4,59.859154929577464,1.994229241095604,1.332302117680685,1.2224282693794704,0.7919916378547877,78,71
warning_fast_recovery_state,RECOVERED_IN_1_BAR,session_level_clear_state,ONE_OF_3_CLEARED,ESCALATION_CONTEXT,VALIDATION_OLDER,68,68,40,28,0,0,58.8235294117647,1.6698053966872788,1.476783512413604,1.275280374022359,1.077273033522244,52,47
warning_fast_recovery_state,RECOVERED_IN_1_BAR,session_level_clear_state,ONE_OF_3_CLEARED,ESCALATION_CONTEXT,VALIDATION_NEWER,63,60,40,20,2,1,66.66666666666667,1.993834544190226,1.618521001818712,1.4742253043014364,0.9588848870386749,48,44
warning_fast_recovery_state,RECOVERED_IN_1_BAR,session_level_clear_state,TWO_OF_3_CLEARED,ESCALATION_CONTEXT,VALIDATION_OLDER,114,110,63,47,3,1,57.27272727272727,1.8531998712678017,1.3865040922944565,1.3042309451778333,0.8299394262155873,71,59
warning_fast_recovery_state,RECOVERED_IN_1_BAR,session_level_clear_state,TWO_OF_3_CLEARED,ESCALATION_CONTEXT,VALIDATION_NEWER,94,91,60,31,3,0,65.93406593406593,1.9842351081073317,1.4136466922651882,1.4293360478305641,0.8759414478051897,63,56
