research_period,premarket_state,context_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,premarket_feature,context_feature
DISCOVERY,GAP_AND_PM_ALIGNED,ALL_3_CLEARED,652,637,355,282,6,9,55.72998430141287,47.69938650306749,1.484910593367269,1.38730015395662,1.126841603538672,0.9784219295286789,106,147,gap_premarket_structure_state,session_level_clear_state
DISCOVERY,GAP_AND_PM_ALIGNED,INCOMPLETE,1,1,1,0,0,0,100.0,100.0,0.7508704224170444,0.784386928981921,0.7508704224170444,0.784386928981921,1,1,gap_premarket_structure_state,session_level_clear_state
DISCOVERY,GAP_AND_PM_ALIGNED,NONE_CLEARED,35,35,19,16,0,0,54.285714285714285,37.142857142857146,0.9483283316230328,1.0691102725115027,0.7460920644200406,0.6451056117715612,28,31,gap_premarket_structure_state,session_level_clear_state
DISCOVERY,GAP_AND_PM_ALIGNED,ONE_OF_3_CLEARED,209,207,98,109,0,2,47.34299516908212,43.0622009569378,1.231511999401425,1.3819820862561507,0.8603877480784674,0.9547738693467365,90,114,gap_premarket_structure_state,session_level_clear_state
DISCOVERY,GAP_AND_PM_ALIGNED,TWO_OF_3_CLEARED,582,573,277,296,2,7,48.34205933682374,43.986254295532646,1.3464603176320877,1.269512833995352,0.9546008791554091,0.9211586868163205,108,149,gap_premarket_structure_state,session_level_clear_state
DISCOVERY,GAP_AND_PM_OPPOSING,ALL_3_CLEARED,49,48,23,25,1,0,47.916666666666664,40.816326530612244,1.0126578511388085,1.1491401306584241,0.776679443211616,1.0037445392136504,37,37,gap_premarket_structure_state,session_level_clear_state
DISCOVERY,GAP_AND_PM_OPPOSING,INCOMPLETE,5,4,2,2,0,1,50.0,40.0,1.206502708448786,1.4241483992068098,0.3733828115312211,0.8760498117578905,5,3,gap_premarket_structure_state,session_level_clear_state
DISCOVERY,GAP_AND_PM_OPPOSING,NONE_CLEARED,844,819,407,412,1,24,49.694749694749696,49.644549763033176,1.2911514706482354,1.2162796453510585,0.9199045135125425,0.8284204003287756,110,156,gap_premarket_structure_state,session_level_clear_state
DISCOVERY,GAP_AND_PM_OPPOSING,ONE_OF_3_CLEARED,253,245,130,115,0,8,53.06122448979592,53.75494071146245,1.2862992363857695,1.138857213916125,0.9106732928029094,0.7013713755159864,95,121,gap_premarket_structure_state,session_level_clear_state
DISCOVERY,GAP_AND_PM_OPPOSING,TWO_OF_3_CLEARED,148,146,71,75,0,2,48.63013698630137,43.24324324324324,1.1356732834390946,1.2120065983543904,0.9084196838198692,0.9468019072632041,83,88,gap_premarket_structure_state,session_level_clear_state
DISCOVERY,GAP_OPPOSING_PM_ALIGNED,ALL_3_CLEARED,57,56,31,25,0,1,55.357142857142854,36.8421052631579,1.7421524560051858,1.0315060972275107,0.9220974056862606,0.9162065408652333,45,45,gap_premarket_structure_state,session_level_clear_state
