research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,symbol_n,trade_date_n,direction,feature
DISCOVERY,UNKNOWN,76,76,43,33,0,0,56.578947368421055,61.8421052631579,1.102611286861179,1.1512539640278099,60,5,BEAR,market_3idx_prior_1w_state
DISCOVERY,ALL_3_ALIGNED,974,950,505,445,0,24,53.1578947368421,49.281314168377826,1.2497902886305603,1.1780190480852741,112,80,BULL,market_3idx_prior_1w_state
DISCOVERY,ALL_3_OPPOSING,665,659,346,313,3,3,52.50379362670713,43.909774436090224,1.450088765676105,1.2622946759796163,112,47,BULL,market_3idx_prior_1w_state
DISCOVERY,MAJORITY_ALIGNED,234,230,117,113,0,4,50.869565217391305,47.43589743589744,1.1778870837175535,1.2774321641683577,92,20,BULL,market_3idx_prior_1w_state
DISCOVERY,MAJORITY_OPPOSING,185,175,84,91,0,10,48.0,48.108108108108105,0.9271601553031578,1.212256797947412,92,9,BULL,market_3idx_prior_1w_state
DISCOVERY,UNKNOWN,42,40,29,11,0,2,72.5,52.38095238095238,1.4282938378447259,0.9196910636548788,33,5,BULL,market_3idx_prior_1w_state
VALIDATION,ALL_3_ALIGNED,616,606,296,310,9,1,48.84488448844885,46.91558441558441,1.5446405245800239,1.4561266823449874,111,52,BEAR,market_3idx_prior_1w_state
VALIDATION,ALL_3_OPPOSING,910,889,477,412,12,9,53.655793025871766,50.32967032967033,1.639538083560674,1.5837446853121708,112,70,BEAR,market_3idx_prior_1w_state
VALIDATION,MAJORITY_ALIGNED,322,317,144,173,4,1,45.42586750788644,44.099378881987576,1.7225525115453981,1.6904905061300826,103,24,BEAR,market_3idx_prior_1w_state
VALIDATION,MAJORITY_OPPOSING,184,178,82,96,1,5,46.06741573033708,45.65217391304348,1.7651587458011537,1.4048566427823637,83,15,BEAR,market_3idx_prior_1w_state
VALIDATION,ALL_3_ALIGNED,961,944,454,490,12,5,48.09322033898305,45.473465140478666,1.7003958481894588,1.503861021151508,112,70,BULL,market_3idx_prior_1w_state
VALIDATION,ALL_3_OPPOSING,647,629,315,314,11,7,50.07949125596184,48.37712519319938,1.7636662275500625,1.518781667155216,109,52,BULL,market_3idx_prior_1w_state
VALIDATION,MAJORITY_ALIGNED,209,201,91,110,8,0,45.27363184079602,41.14832535885167,1.4663772429559716,1.5870618190534562,97,15,BULL,market_3idx_prior_1w_state
VALIDATION,MAJORITY_OPPOSING,336,324,155,169,12,0,47.839506172839506,49.70238095238095,1.7543190825409183,1.767541419111917,107,24,BULL,market_3idx_prior_1w_state
DISCOVERY,ALL_3_ALIGNED,1521,1483,719,764,2,36,48.48280512474713,44.838921761998684,1.2201831337626436,1.2512889384847068,112,117,ALL,market_3idx_prior_4w_state
DISCOVERY,ALL_3_OPPOSING,1567,1534,767,767,7,26,50.0,45.43714103382259,1.3457740199414145,1.2210767781728464,112,117,ALL,market_3idx_prior_4w_state
DISCOVERY,MAJORITY_ALIGNED,314,310,189,121,0,4,60.96774193548387,50.318471337579616,1.5078330545333225,1.1793798552669286,103,25,ALL,market_3idx_prior_4w_state
DISCOVERY,MAJORITY_OPPOSING,383,372,196,176,5,6,52.68817204301075,44.38642297650131,1.3461611741093162,1.4571571501937879,109,25,ALL,market_3idx_prior_4w_state
DISCOVERY,UNKNOWN,487,478,263,215,0,9,55.02092050209205,54.0041067761807,1.1749754320702166,1.149971884429119,111,19,ALL,market_3idx_prior_4w_state
VALIDATION,ALL_3_ALIGNED,1461,1437,703,734,17,7,48.921363952679194,45.31143052703628,1.653641334933147,1.4735740403698039,112,108,ALL,market_3idx_prior_4w_state
VALIDATION,ALL_3_OPPOSING,1395,1365,688,677,15,15,50.4029304029304,48.67383512544803,1.6180134291442168,1.5226173049082756,111,108,ALL,market_3idx_prior_4w_state
VALIDATION,MAJORITY_ALIGNED,618,606,299,307,10,2,49.33993399339934,45.79288025889968,1.6666538660419958,1.7053876888858184,112,53,ALL,market_3idx_prior_4w_state
VALIDATION,MAJORITY_OPPOSING,711,680,324,356,27,4,47.64705882352941,49.50773558368495,1.815661095310242,1.6365581956757604,112,53,ALL,market_3idx_prior_4w_state
DISCOVERY,ALL_3_ALIGNED,114,113,49,64,1,0,43.36283185840708,34.21052631578947,1.1283103242482566,1.481064264799606,70,9,BEAR,market_3idx_prior_4w_state
DISCOVERY,ALL_3_OPPOSING,1433,1400,689,711,7,26,49.214285714285715,44.731332868108865,1.3429102196714608,1.2304145492674465,112,108,BEAR,market_3idx_prior_4w_state
DISCOVERY,MAJORITY_ALIGNED,131,130,80,50,0,1,61.53846153846154,54.19847328244275,1.7956259760891435,1.3864994764858676,77,10,BEAR,market_3idx_prior_4w_state
DISCOVERY,MAJORITY_OPPOSING,222,213,98,115,3,6,46.009389671361504,42.792792792792795,1.1494508160454449,1.4334812618664987,98,15,BEAR,market_3idx_prior_4w_state
DISCOVERY,UNKNOWN,272,267,137,130,0,5,51.31086142322097,53.30882352941177,1.0801935894565726,1.1932747783640298,109,19,BEAR,market_3idx_prior_4w_state
DISCOVERY,ALL_3_ALIGNED,1407,1370,670,700,1,36,48.90510948905109,45.7000710732054,1.2276269861326792,1.2326717478664424,112,108,BULL,market_3idx_prior_4w_state
DISCOVERY,ALL_3_OPPOSING,134,134,78,56,0,0,58.208955223880594,52.985074626865675,1.3763995855148763,1.121218375347757,80,9,BULL,market_3idx_prior_4w_state
DISCOVERY,MAJORITY_ALIGNED,183,180,109,71,0,3,60.55555555555556,47.540983606557376,1.301817356588992,1.0311138969080158,88,15,BULL,market_3idx_prior_4w_state
DISCOVERY,MAJORITY_OPPOSING,161,159,98,61,2,0,61.63522012578616,46.58385093167702,1.6174015436135367,1.4898034061481868,90,10,BULL,market_3idx_prior_4w_state
DISCOVERY,UNKNOWN,215,211,126,85,0,4,59.71563981042654,54.883720930232556,1.2948854841209658,1.0951886883812323,93,19,BULL,market_3idx_prior_4w_state
VALIDATION,ALL_3_ALIGNED,292,289,145,144,2,1,50.173010380622834,42.80821917808219,1.4391405465503675,1.3016160844518798,105,24,BEAR,market_3idx_prior_4w_state
VALIDATION,ALL_3_OPPOSING,1100,1074,548,526,14,12,51.02420856610801,49.54545454545455,1.639271015273465,1.5256445589700391,111,84,BEAR,market_3idx_prior_4w_state
VALIDATION,MAJORITY_ALIGNED,438,430,211,219,7,1,49.06976744186046,45.4337899543379,1.6764615052517402,1.7027101701665441,111,38,BEAR,market_3idx_prior_4w_state
VALIDATION,MAJORITY_OPPOSING,202,197,95,102,3,2,48.223350253807105,51.48514851485149,1.8079804031324642,1.6680460353687656,93,15,BEAR,market_3idx_prior_4w_state
VALIDATION,ALL_3_ALIGNED,1169,1148,558,590,15,6,48.606271777003485,45.93669803250641,1.7072206593196069,1.5165267547650425,112,84,BULL,market_3idx_prior_4w_state
VALIDATION,ALL_3_OPPOSING,295,291,140,151,1,3,48.10996563573883,45.42372881355932,1.5387478537470194,1.511329238915258,104,24,BULL,market_3idx_prior_4w_state
VALIDATION,MAJORITY_ALIGNED,180,176,88,88,3,1,50.0,46.666666666666664,1.6427886106316185,1.711902984436052,92,15,BULL,market_3idx_prior_4w_state
VALIDATION,MAJORITY_OPPOSING,509,483,229,254,24,2,47.4120082815735,48.722986247544206,1.818709228551718,1.6240620392553542,110,38,BULL,market_3idx_prior_4w_state
DISCOVERY,ALL_3_ALIGNED,969,942,510,432,2,25,54.140127388535035,48.60681114551084,1.2980371906789723,1.2850418067120222,112,69,ALL,market_3idx_weekly_ema20_state
DISCOVERY,ALL_3_OPPOSING,916,896,484,412,3,17,54.017857142857146,48.90829694323144,1.5929416712993303,1.2651460095702236,112,69,ALL,market_3idx_weekly_ema20_state
DISCOVERY,UNKNOWN,2387,2339,1140,1199,9,39,48.73877725523728,44.6585672392124,1.1768102937782128,1.2153377889220076,112,92,ALL,market_3idx_weekly_ema20_state
VALIDATION,ALL_3_ALIGNED,2042,1995,969,1026,38,9,48.57142857142857,46.32713026444662,1.6747512757091696,1.5298954373320783,112,152,ALL,market_3idx_weekly_ema20_state
VALIDATION,ALL_3_OPPOSING,1954,1913,951,962,23,18,49.71249346576059,48.20880245649949,1.6674857184850678,1.5748826153452689,112,152,ALL,market_3idx_weekly_ema20_state
