symbol,trade_date,direction,architecture,decision_candle,entry_timestamp,pm_directional_level,ah_directional_level,pd_directional_level,ema9,ema20,c2_vwap,a47_structural_center_price,a47_center_to_ema9_abs_pct,a47_center_to_ema20_abs_pct,a47_center_to_vwap_abs_pct,a47_center_to_nearest_tech_abs_pct,a47_center_to_mean_tech_abs_pct
PLTR,2025-09-08,BULL,AE2_RECLAIM,2,2025-09-08 13:31:00+00:00,154.99,153.12,158.97,154.96915080336095,154.37189009271444,156.05775194896364,155.69333333333336,0.4651339363529222,0.8487474783456274,0.23406179816966155,0.23406179816966155,0.5159810709560704
PLTR,2025-09-11,BEAR,AE2_RECLAIM,2,2025-09-11 13:31:00+00:00,166.6999,166.06,163.44,166.9679736423352,167.15557640998762,166.53895839244655,165.39996666666667,0.9480092452670014,1.0614329486891951,0.6886287517066454,0.6886287517066454,0.8993569818876139
PLTR,2025-09-16,BEAR,AE2_RECLAIM,2,2025-09-16 13:31:00+00:00,170.1,170.1,167.41,170.35752569538096,170.45786456176046,170.13008138909868,169.20333333333335,0.682133347676923,0.7414341099035353,0.5477126469722798,0.5477126469722798,0.657093368184246
PLTR,2025-09-17,BEAR,AE2_RECLAIM,2,2025-09-17 13:31:00+00:00,167.86,169.8,168.96,168.42949216673622,168.6046822743615,168.27519298915192,168.87333333333333,0.2628248983047118,0.15908435847687077,0.35419466909009706,0.15908435847687077,0.2587013086238932
PLTR,2025-09-19,BULL,AE2_RECLAIM,2,2025-09-19 13:31:00+00:00,177.75,177.3,178.8,177.07782894919342,176.79161575147612,177.38541064525828,177.95000000000002,0.490121410961843,0.6509605217892114,0.3172741527067949,0.3172741527067949,0.4861186951526164
PLTR,2025-09-23,BULL,AE2_RECLAIM,2,2025-09-23 13:31:00+00:00,182.8,179.76,182.25,182.83212112565,182.43302550403726,183.536950692302,181.60333333333332,0.6766328402470583,0.45687056260197284,1.0647477243270258,0.45687056260197284,0.7327503757253524
PLTR,2025-09-24,BEAR,AE2_RECLAIM,2,2025-09-24 13:31:00+00:00,181.87,181.8579,177.01,183.45986876642775,183.3733085694143,183.6366324376331,180.24596666666665,1.7830646417207485,1.7350412664329498,1.8811326731304299,1.7350412664329498,1.799746193761376
PLTR,2025-10-07,BULL,AE2_RECLAIM,2,2025-10-07 13:31:00+00:00,180.88,179.87,182.95,180.48036398827827,180.42553326229938,180.742134749868,181.23333333333335,0.4154695668871131,0.44572378390691547,0.2710310374096089,0.2710310374096089,0.37740812940121254
PLTR,2025-10-14,BEAR,AE2_RECLAIM,2,2025-10-14 13:31:00+00:00,172.1,177.01,173.45,175.3067483029131,174.93738308229962,176.10204442341131,174.18666666666664,0.6430352320765771,0.4309838577194845,1.099612153673076,0.4309838577194845,0.7245437478230459
PLTR,2025-10-21,BEAR,AE2_RECLAIM,2,2025-10-21 13:31:00+00:00,180.7,181.37,177.44,181.61317175227907,181.5629382147532,181.6817273816504,179.83666666666667,0.9878436464267942,0.9599107790883479,1.025964698513687,0.9599107790883479,0.9912397080096097
PLTR,2025-10-29,BULL,AE2_RECLAIM,2,2025-10-29 13:31:00+00:00,192.0,190.46,191.78,191.4066926395463,191.24034601537002,191.59707628498785,191.41333333333333,0.003469295305290832,0.0903737033104475,0.09599276521377272,0.003469295305290832,0.06327858794317036
PLTR,2025-11-10,BULL,AE2_RECLAIM,2,2025-11-10 14:31:00+00:00,185.0,180.5465,178.7,184.24900048615964,184.0152166856456,184.3871389075657,181.41549999999998,1.5618844509756138,1.4330179536178729,1.6380292243858623,1.4330179536178729,1.5443105429931163
PLTR,2025-11-12,BEAR,AE2_RECLAIM,2,2025-11-12 14:31:00+00:00,190.4002,190.6328,187.13,189.55107085094477,190.46997498765487,188.0049607844294,189.38766666666666,0.08628026690128045,0.5714777208238856,0.7300928864976819,0.08628026690128045,0.46261695807428266
PLTR,2025-11-19,BEAR,AE2_RECLAIM,2,2025-11-19 14:31:00+00:00,165.0,166.0592,165.5,167.93132638933477,168.3401358827597,167.36521741679408,165.51973333333333,1.456982202324377,1.703967552766947,1.1149631807007583,1.1149631807007583,1.425304311930694
PLTR,2025-11-26,BEAR,AE2_RECLAIM,2,2025-11-26 14:31:00+00:00,164.19,162.92,156.555,166.2845953159024,166.30618818318166,165.9968198221718,161.22166666666666,3.14035250590951,3.1537457846949835,2.9618557196645225,2.9618557196645225,3.085318003423005
PLTR,2025-12-01,BEAR,AE2_RECLAIM,2,2025-12-01 14:31:00+00:00,163.71,168.6,165.875,164.8242512973482,165.18178586202885,164.27700345489419,166.06166666666667,0.7451541310869187,0.5298518449799701,1.0746990847410995,0.5298518449799701,0.7832350202693293
PLTR,2025-12-02,BULL,AE2_RECLAIM,2,2025-12-02 14:31:00+00:00,170.0,167.87,169.1,170.21476727599503,169.9440561141559,170.6616143278634,168.99,0.7247572495384463,0.5645636511958634,0.9891794353887099,0.5645636511958634,0.7595001120410066
